time,,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track,vspeed
2022-03-21 05:20:14Z.215,1647840014.215,0x780db8,CES5735,24.92109,102.8996,P,15750,2101,356,115,3200
2022-03-21 05:20:16Z.434,1647840016.434,0x780db8,CES5735,24.91993,102.9022,P,15825,2101,356,115,3200
2022-03-21 05:20:18Z.150,1647840018.150,0x780db8,CES5735,24.91805,102.90644,P,15975,2101,356,116,3456
2022-03-21 05:20:19Z.550,1647840019.550,0x780db8,CES5735,24.91745,102.90771,P,16025,2101,355,116,3584
2022-03-21 05:20:20Z.730,1647840020.730,0x780db8,CES5735,24.91745,102.90771,P,16100,2101,356,115,3200
2022-03-21 05:20:22Z.887,1647840022.887,0x780db8,CES5735,24.91471,102.91386,P,16250,2101,354,116,3904
2022-03-21 05:20:25Z.754,1647840025.754,0x780db8,CES5735,24.91266,102.91837,P,16425,2101,354,115,3840
2022-03-21 05:20:28Z.224,1647840028.224,0x780db8,CES5735,24.91141,102.9213,P,16525,2101,352,116,3712
2022-03-21 05:20:28Z.366,1647840028.366,0x780db8,CES5735,24.91066,102.92293,P,16575,2101,352,115,3584
2022-03-21 05:20:31Z.504,1647840031.504,0x780db8,CES5735,24.90967,102.92516,P,16700,2101,352,115,3136
